epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8893,1.84456,2.17981,1.19569,0.66852,0.62393,0.67924,0.45453,1.14297,1.43661,1.05457,0.000546086,0.000546086,0.000546086
2,55.0318,1.61988,1.11432,1.12454,0.71719,0.71208,0.75206,0.50294,1.22914,1.31627,1.05685,0.00109448,0.00109448,0.00109448
3,80.9915,1.57229,1.06361,1.11017,0.72838,0.69988,0.76178,0.51867,1.15781,1.21219,1.03956,0.00163554,0.00163554,0.00163554
4,106.891,1.53099,1.0159,1.09605,0.7117,0.73128,0.76882,0.54803,0.96555,1.1322,0.97485,0.00163399,0.00163399,0.00163399
5,132.721,1.52233,1.00745,1.098,0.76117,0.6939,0.77543,0.54278,1.04172,1.03614,1.01949,0.00162299,0.00162299,0.00162299
6,158.465,1.49592,0.98308,1.08544,0.73556,0.73566,0.79044,0.56583,0.9186,0.99112,1.00766,0.00161199,0.00161199,0.00161199
7,184.556,1.47134,0.96215,1.07487,0.74334,0.73462,0.79387,0.56557,0.88842,0.96598,0.95509,0.00160099,0.00160099,0.00160099
8,210.266,1.46057,0.96443,1.08132,0.74685,0.72995,0.79104,0.56654,0.95112,0.94985,0.96338,0.00158998,0.00158998,0.00158998
9,236.012,1.45119,0.95572,1.07329,0.7423,0.72265,0.786,0.54921,1.14914,1.03011,1.01676,0.00157898,0.00157898,0.00157898
10,261.788,1.43312,0.93326,1.06543,0.76202,0.72664,0.7918,0.56344,0.976,0.90926,1.0166,0.00156798,0.00156798,0.00156798
11,287.474,1.41786,0.92967,1.0597,0.74272,0.72894,0.7887,0.56578,0.92818,0.95789,0.96923,0.00155698,0.00155698,0.00155698
12,313.221,1.4066,0.91868,1.05289,0.74429,0.75024,0.79519,0.56292,0.92706,0.89955,0.96042,0.00154598,0.00154598,0.00154598
13,338.88,1.39592,0.91328,1.05534,0.75491,0.71284,0.78907,0.57409,0.84141,0.88826,0.95235,0.00153497,0.00153497,0.00153497
14,364.835,1.38906,0.91499,1.04918,0.73895,0.73721,0.79603,0.56635,0.88147,0.92362,0.94975,0.00152397,0.00152397,0.00152397
15,390.536,1.36352,0.89123,1.04297,0.76039,0.72965,0.79862,0.58005,0.85168,0.94558,0.9545,0.00151297,0.00151297,0.00151297
16,416.292,1.35904,0.88656,1.03948,0.75784,0.73862,0.7983,0.58788,0.85439,0.86159,0.98149,0.00150197,0.00150197,0.00150197
