epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6086,1.22123,1.68524,0.99053,0.6851,0.69394,0.7321,0.48003,1.18298,1.1439,1.08242,0.000469982,0.000469982,0.000469982
2,78.2215,0.99923,0.81517,0.94432,0.75446,0.65275,0.75965,0.51586,1.06862,1.01142,1.03273,0.000943193,0.000943193,0.000943193
3,113.165,0.95875,0.7525,0.92681,0.7168,0.6908,0.7575,0.52381,1.03452,1.01336,1.03232,0.00141326,0.00141326,0.00141326
4,147.554,0.94952,0.7425,0.93008,0.72595,0.70601,0.76427,0.52975,1.02437,0.9943,1.02545,0.00141485,0.00141485,0.00141485
5,181.995,0.93708,0.7308,0.92822,0.72418,0.68947,0.75912,0.52926,1.00806,0.96449,1.01979,0.00141014,0.00141014,0.00141014
6,216.248,0.92168,0.71498,0.92345,0.77194,0.65395,0.76742,0.53934,1.02057,0.97854,1.02399,0.00140542,0.00140542,0.00140542
7,250.333,0.92505,0.71327,0.92406,0.7352,0.68069,0.76085,0.53487,1.0013,0.98543,1.01932,0.00140071,0.00140071,0.00140071
8,284.721,0.91153,0.70099,0.92285,0.80292,0.64882,0.76906,0.53484,1.0034,0.95406,1.02142,0.00139599,0.00139599,0.00139599
9,319.191,0.90199,0.69968,0.91884,0.77698,0.64929,0.7612,0.53148,0.97835,0.98677,1.00476,0.00139127,0.00139127,0.00139127
10,353.566,0.9011,0.69288,0.91991,0.73935,0.67804,0.7643,0.5353,0.98041,0.98225,1.00618,0.00138656,0.00138656,0.00138656
11,387.92,0.89169,0.68634,0.91449,0.79388,0.65179,0.7669,0.53611,0.98232,0.97327,1.01101,0.00138184,0.00138184,0.00138184
12,422.449,0.89699,0.68728,0.91505,0.7963,0.6593,0.76949,0.53405,0.97923,0.96012,1.00629,0.00137713,0.00137713,0.00137713
13,456.925,0.89915,0.68555,0.91834,0.78476,0.6633,0.76886,0.53864,0.98053,0.95914,1.01081,0.00137241,0.00137241,0.00137241
14,491.511,0.89185,0.68003,0.91628,0.78252,0.67337,0.76919,0.54616,0.99415,0.93899,1.01819,0.0013677,0.0013677,0.0013677
15,526.535,0.88434,0.67147,0.91048,0.7588,0.68003,0.77027,0.54081,0.98303,0.94135,1.0025,0.00136298,0.00136298,0.00136298
16,564.441,0.88521,0.67151,0.91331,0.79913,0.65254,0.7652,0.53174,0.99168,0.96994,1.01088,0.00135826,0.00135826,0.00135826
17,599.176,0.87797,0.66873,0.90993,0.75869,0.69096,0.77272,0.54178,0.97634,0.97046,1.01284,0.00135355,0.00135355,0.00135355
18,633.704,0.88424,0.66972,0.911,0.7933,0.67101,0.76864,0.53968,0.99458,0.96733,1.0226,0.00134883,0.00134883,0.00134883
19,668.983,0.87306,0.66447,0.90853,0.76275,0.69238,0.77022,0.54461,0.98971,0.9573,1.01639,0.00134412,0.00134412,0.00134412
20,705.4,0.88199,0.6694,0.91443,0.79045,0.67884,0.77198,0.53729,0.9754,0.94445,1.01234,0.0013394,0.0013394,0.0013394
21,740.277,0.86909,0.65231,0.90721,0.77019,0.68968,0.7697,0.54236,0.9844,0.95679,1.00608,0.00133469,0.00133469,0.00133469
22,775.457,0.88503,0.66329,0.91371,0.79664,0.65628,0.76764,0.53714,0.98896,0.96655,1.02206,0.00132997,0.00132997,0.00132997
23,810.026,0.85663,0.64666,0.90331,0.76361,0.68744,0.76797,0.5365,0.98604,0.99047,1.0142,0.00132525,0.00132525,0.00132525
24,844.689,0.87314,0.65492,0.90733,0.80174,0.65871,0.76749,0.54121,0.97514,0.96596,1.01209,0.00132054,0.00132054,0.00132054
25,879.05,0.86747,0.65727,0.90942,0.76758,0.67603,0.77244,0.54297,0.98213,0.97136,1.02221,0.00131582,0.00131582,0.00131582
26,913.483,0.85356,0.64103,0.90147,0.77037,0.67008,0.77233,0.54532,0.97242,0.96569,1.01494,0.00131111,0.00131111,0.00131111
27,947.853,0.86914,0.65364,0.90671,0.77128,0.66824,0.76072,0.53259,0.97324,0.97777,1.01197,0.00130639,0.00130639,0.00130639
28,982.387,0.85925,0.64434,0.90622,0.75601,0.69147,0.77432,0.53919,0.98576,0.96957,1.01622,0.00130168,0.00130168,0.00130168
29,1016.62,0.86368,0.64569,0.90625,0.7547,0.71268,0.77327,0.54165,1.00833,0.95662,1.02494,0.00129696,0.00129696,0.00129696
30,1051.07,0.85679,0.64507,0.90542,0.77235,0.67822,0.77447,0.54404,0.98574,0.9562,1.02069,0.00129224,0.00129224,0.00129224
31,1085.71,0.85729,0.63977,0.9022,0.80345,0.65358,0.77036,0.53567,1.00875,0.96758,1.02416,0.00128753,0.00128753,0.00128753
32,1120.07,0.87746,0.6532,0.90798,0.78103,0.67977,0.76768,0.53869,0.99722,0.97184,1.02213,0.00128281,0.00128281,0.00128281
33,1154.5,0.86456,0.64536,0.90673,0.82238,0.63158,0.76143,0.5373,1.00096,0.95838,1.03047,0.0012781,0.0012781,0.0012781
34,1188.85,0.84812,0.63198,0.90055,0.74553,0.69841,0.76176,0.52995,1.01022,0.97497,1.03291,0.00127338,0.00127338,0.00127338
35,1223.31,0.85464,0.63328,0.90307,0.75098,0.68085,0.76203,0.53614,0.98704,0.97826,1.01995,0.00126867,0.00126867,0.00126867
36,1257.83,0.84732,0.6292,0.90367,0.76878,0.67223,0.76096,0.5312,0.99898,0.975,1.0288,0.00126395,0.00126395,0.00126395
37,1292.31,0.8636,0.64329,0.90781,0.75389,0.70592,0.76836,0.53592,0.98329,0.96126,1.01641,0.00125923,0.00125923,0.00125923
38,1326.59,0.84491,0.62736,0.89731,0.76377,0.67606,0.77206,0.53796,0.99097,0.96275,1.02038,0.00125452,0.00125452,0.00125452
39,1360.97,0.84945,0.62951,0.89966,0.76247,0.67621,0.7662,0.53602,1.01422,0.97546,1.03393,0.0012498,0.0012498,0.0012498
40,1395.34,0.84677,0.63318,0.90227,0.78209,0.66602,0.7637,0.53694,0.98462,0.96951,1.01756,0.00124509,0.00124509,0.00124509
41,1429.78,0.85499,0.63138,0.90254,0.75814,0.6806,0.76501,0.54012,0.98802,0.96932,1.02988,0.00124037,0.00124037,0.00124037
42,1464.31,0.84526,0.6222,0.89505,0.77488,0.66431,0.76571,0.53759,0.99881,0.9682,1.0314,0.00123566,0.00123566,0.00123566
43,1498.74,0.83854,0.62362,0.8989,0.76496,0.68469,0.76796,0.54089,0.99121,0.94686,1.03553,0.00123094,0.00123094,0.00123094
44,1533.35,0.84459,0.62706,0.8984,0.78699,0.65379,0.7639,0.53884,0.9908,0.95359,1.0251,0.00122622,0.00122622,0.00122622
