epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0464,1.25543,1.94813,0.99594,0.68219,0.58372,0.6845,0.45019,1.14535,1.26425,1.00898,0.000463798,0.000463798,0.000463798
2,76.087,0.99632,0.83394,0.94258,0.77048,0.64584,0.75495,0.50978,0.98881,0.89102,0.95687,0.000937029,0.000937029,0.000937029
3,110.415,0.96715,0.76005,0.93126,0.72741,0.68211,0.75747,0.52194,0.96332,0.87681,0.95793,0.00140712,0.00140712,0.00140712
4,144.697,0.93935,0.73317,0.92534,0.77733,0.6404,0.75342,0.52062,0.94641,0.86214,0.95213,0.00141485,0.00141485,0.00141485
5,178.995,0.92067,0.7139,0.92404,0.73283,0.67708,0.76018,0.53109,0.9322,0.85348,0.94981,0.00141014,0.00141014,0.00141014
6,213.245,0.90657,0.70222,0.91804,0.75849,0.65848,0.75664,0.52867,0.95294,0.84821,0.95572,0.00140542,0.00140542,0.00140542
7,247.337,0.90861,0.69863,0.91969,0.72284,0.68284,0.75381,0.53088,0.93388,0.84427,0.9497,0.00140071,0.00140071,0.00140071
8,281.46,0.90495,0.69612,0.92125,0.81464,0.63771,0.76707,0.52863,0.9531,0.84651,0.95362,0.00139599,0.00139599,0.00139599
9,315.675,0.90182,0.69653,0.91808,0.77779,0.66432,0.7732,0.52986,0.92696,0.85482,0.9404,0.00139127,0.00139127,0.00139127
10,349.984,0.89626,0.68412,0.91664,0.75024,0.67104,0.76653,0.53073,0.93933,0.84961,0.94891,0.00138656,0.00138656,0.00138656
11,384.083,0.89522,0.68199,0.91643,0.7709,0.67052,0.77072,0.53375,0.92743,0.84367,0.93905,0.00138184,0.00138184,0.00138184
12,418.299,0.87943,0.66743,0.90741,0.82815,0.62524,0.76582,0.5333,0.92952,0.8356,0.94484,0.00137713,0.00137713,0.00137713
13,452.393,0.88916,0.67693,0.91498,0.79172,0.65992,0.77111,0.53131,0.91888,0.84103,0.9411,0.00137241,0.00137241,0.00137241
14,486.557,0.87927,0.67253,0.91107,0.79358,0.66002,0.76867,0.53335,0.94559,0.84475,0.95273,0.0013677,0.0013677,0.0013677
15,520.832,0.87061,0.6614,0.90858,0.77939,0.66466,0.7655,0.5401,0.90836,0.83578,0.94238,0.00136298,0.00136298,0.00136298
16,555.064,0.89786,0.67803,0.917,0.75304,0.67947,0.75801,0.5286,0.92949,0.84528,0.94617,0.00135826,0.00135826,0.00135826
17,589.416,0.87774,0.66399,0.91074,0.77908,0.6692,0.76932,0.52623,0.92319,0.84703,0.94728,0.00135355,0.00135355,0.00135355
18,623.725,0.87876,0.65738,0.91128,0.76588,0.66222,0.7593,0.53471,0.91538,0.85591,0.94368,0.00134883,0.00134883,0.00134883
19,658.097,0.86381,0.65501,0.90666,0.75987,0.68911,0.76928,0.53605,0.92674,0.86259,0.94823,0.00134412,0.00134412,0.00134412
20,692.334,0.86907,0.65302,0.90522,0.7677,0.70346,0.77189,0.5416,0.92733,0.83026,0.944,0.0013394,0.0013394,0.0013394
21,726.788,0.84783,0.63736,0.89954,0.74615,0.70129,0.76613,0.53405,0.92657,0.84093,0.94518,0.00133469,0.00133469,0.00133469
22,761.048,0.87167,0.6504,0.90817,0.76616,0.69946,0.77368,0.5422,0.91227,0.84858,0.94552,0.00132997,0.00132997,0.00132997
